Name,GK,CB,CM,ST,RW,LB
M. Berg,10.2,47.0,66.0,78.0,73.0,50.0
I. Piatti,11.2,58.0,77.0,76.0,80.0,63.0
V. Birsa,4.2,58.0,77.0,75.0,78.0,63.0
Pedro León,12.8,49.0,76.0,72.0,78.0,58.0
K. Boateng,10.8,72.0,77.0,78.0,77.0,72.0
Marcano,12.2,79.0,63.0,58.0,56.0,73.0
H. Moreno,12.0,79.0,66.0,61.0,61.0,75.0
S. Romero,79.0,,,,,
A. Candreva,9.2,61.0,76.0,77.0,80.0,68.0
D. Criscito,11.4,77.0,74.0,69.0,72.0,79.0
D. Wass,11.2,68.0,79.0,75.0,77.0,74.0
Coke,10.8,78.0,72.0,71.0,72.0,79.0
A. Guardado,9.6,69.0,79.0,70.0,76.0,74.0
J. dos Santos,11.8,63.0,79.0,72.0,77.0,69.0
E. Lamela,11.4,55.0,76.0,76.0,79.0,61.0
R. Bertrand,12.8,77.0,71.0,66.0,71.0,79.0
Renato Augusto,11.2,68.0,79.0,74.0,78.0,71.0
Jardel,11.4,79.0,57.0,55.0,50.0,70.0
V. Denisov,9.6,77.0,69.0,64.0,67.0,79.0
D. Basta,11.4,78.0,74.0,72.0,73.0,79.0
G. Cabral,9.4,79.0,61.0,51.0,49.0,69.0
G. Paletta,11.0,79.0,54.0,49.0,44.0,68.0
T. Walcott,9.0,50.0,70.0,76.0,79.0,59.0
L. Fabiański,78.6,,,,,
B. Foster,78.4,,,,,
V. Ibišević,14.2,50.0,68.0,79.0,73.0,50.0
K. El Ahmadi,12.2,74.0,78.0,68.0,71.0,74.0
S. Kalou,8.8,47.0,73.0,79.0,79.0,54.0
Manuel Fernandes,12.2,68.0,77.0,74.0,79.0,72.0
A. Granqvist,10.6,79.0,65.0,62.0,56.0,71.0
L. Podolski,10.6,53.0,71.0,79.0,78.0,58.0
Javi Fuego,11.6,77.0,73.0,65.0,65.0,74.0
F. Belluschi,10.4,65.0,78.0,74.0,77.0,68.0
A. Mirante,77.2,,,,,
V. Enyeama,,,,,,
F. Marchetti,77.2,,,,,
Kaká,3.8,45.0,73.0,73.0,76.0,51.0
J. Milner,1.0,76.0,80.0,75.0,76.0,79.0
A. Hutchinson,10.2,77.0,77.0,72.0,72.0,78.0
M. Topal,12.0,80.0,74.0,70.0,68.0,78.0
J. Mathieu,10.2,79.0,66.0,67.0,63.0,76.0
C. Kameni,79.2,,,,,
P. Jagielka,33.8,79.0,62.0,57.0,53.0,72.0
P. Evra,4.2,79.0,71.0,65.0,69.0,78.0
J. Defoe,10.4,42.0,65.0,79.0,76.0,47.0
Júlio César,76.0,,,,,
M. Carrick,12.0,74.0,79.0,69.0,69.0,72.0
M. Almirón,10.6,59.0,76.0,73.0,79.0,69.0
Oyarzabal,10.0,45.0,73.0,73.0,79.0,55.0
Soares,7.6,58.0,67.0,78.0,74.0,59.0
M. Campaña,77.8,,,,,
F. Andone,9.2,58.0,69.0,78.0,75.0,61.0
M. Acuña,12.4,63.0,75.0,73.0,78.0,70.0
V. Lindelöf,10.4,78.0,65.0,59.0,58.0,73.0
Y. Cardinale,78.0,,,,,
C. Lenglet,9.6,78.0,65.0,56.0,56.0,73.0
M. Dahoud,10.6,64.0,78.0,68.0,76.0,70.0
D. Zappacosta,9.0,74.0,72.0,71.0,73.0,78.0
N. Maksimović,10.4,78.0,55.0,50.0,48.0,71.0
E. Rigoni,11.2,50.0,71.0,72.0,78.0,62.0
I. Marcone,13.0,75.0,74.0,64.0,63.0,71.0
L. López,10.6,78.0,61.0,61.0,56.0,71.0
A. Correa,11.2,54.0,70.0,78.0,79.0,61.0
K. Coman,4.2,37.0,68.0,75.0,79.0,50.0
S. Kritsyuk,77.4,,,,,
W. Cyprien,11.4,75.0,78.0,75.0,77.0,76.0
Diego Llorente,9.4,78.0,66.0,57.0,58.0,74.0
Anderson Talisca,11.8,64.0,76.0,79.0,78.0,67.0
L. Dendoncker,11.2,77.0,77.0,74.0,71.0,77.0
M. Meyer,11.6,45.0,74.0,66.0,77.0,56.0
Gayà,10.6,74.0,74.0,68.0,75.0,78.0
S. Boufal,11.2,42.0,71.0,70.0,79.0,55.0
M. Benassi,9.8,74.0,78.0,74.0,75.0,74.0
N. Tagliafico,12.6,75.0,71.0,68.0,71.0,78.0
E. Hysaj,10.4,76.0,70.0,65.0,69.0,78.0
João Cancelo,11.6,73.0,75.0,74.0,78.0,78.0
A. Romagnoli,10.4,78.0,61.0,52.0,53.0,71.0
Óliver Torres,8.4,60.0,78.0,70.0,78.0,68.0
H. Çalhanoğlu,10.0,50.0,75.0,74.0,77.0,59.0
Gerard Moreno,11.2,55.0,68.0,78.0,75.0,59.0
B. Traoré,10.0,50.0,72.0,75.0,79.0,58.0
L. Vietto,11.2,50.0,72.0,78.0,80.0,56.0
L. Paredes,9.6,71.0,78.0,70.0,74.0,74.0
M. Arnold,10.2,67.0,78.0,75.0,75.0,70.0
S. Gnabry,10.0,53.0,71.0,75.0,79.0,61.0
L. Shaw,9.8,76.0,71.0,67.0,72.0,78.0
E. Višća,12.8,48.0,71.0,75.0,80.0,60.0
Bernard,10.4,47.0,72.0,73.0,80.0,59.0
D. Baselli,9.8,67.0,78.0,73.0,77.0,70.0
A. Milik,12.4,50.0,66.0,77.0,72.0,54.0
Bernat,11.2,73.0,75.0,69.0,77.0,78.0
W. Orban,11.6,78.0,59.0,53.0,51.0,69.0
Rubén Pardo,9.2,63.0,78.0,69.0,74.0,67.0
K. Zouma,11.8,78.0,62.0,61.0,57.0,72.0
C. Kramer,8.8,74.0,74.0,62.0,66.0,74.0
S. Vrsaljko,11.6,76.0,73.0,67.0,71.0,78.0
Zé Luís,11.8,49.0,65.0,78.0,73.0,49.0
J. Stones,10.2,78.0,70.0,58.0,63.0,76.0
J. Vestergaard,12.6,78.0,63.0,58.0,50.0,68.0
Fernando,10.4,76.0,74.0,65.0,67.0,75.0
M. Depay,10.0,47.0,70.0,77.0,78.0,54.0
F. Fernández,12.6,78.0,59.0,48.0,46.0,68.0
S. Sané,12.0,78.0,67.0,62.0,61.0,73.0
N. Sansone,11.0,50.0,72.0,78.0,79.0,56.0
P. Ntep,9.4,44.0,70.0,74.0,79.0,52.0
F. Ghoulam,9.6,75.0,72.0,70.0,71.0,78.0
J. Murillo,12.0,78.0,60.0,58.0,57.0,74.0
Gabriel Paulista,11.6,78.0,67.0,61.0,61.0,75.0
V. Darida,14.8,63.0,78.0,70.0,77.0,72.0
Cédric,12.0,74.0,74.0,71.0,74.0,78.0
L. Tonelli,10.8,78.0,53.0,50.0,50.0,72.0
R. Saponara,4.2,47.0,74.0,72.0,77.0,55.0
D. Sidibé,10.8,76.0,75.0,73.0,75.0,78.0
Y. Konoplyanka,9.8,44.0,71.0,74.0,79.0,55.0
L. Digne,9.2,75.0,75.0,69.0,73.0,78.0
Paco Alcácer,10.6,46.0,66.0,78.0,74.0,50.0
Vicente Gómez,11.8,75.0,78.0,69.0,68.0,71.0
E. Çolak,9.4,50.0,74.0,73.0,78.0,60.0
N. Jørgensen,8.8,51.0,71.0,78.0,76.0,56.0
Oriol Romeu,12.6,78.0,71.0,56.0,57.0,72.0
Nolito,10.6,51.0,74.0,74.0,78.0,58.0
B. Martins Indi,9.6,78.0,60.0,55.0,55.0,72.0
M. Gabbiadini,8.8,44.0,69.0,78.0,77.0,49.0
P. Herrmann,10.0,50.0,70.0,75.0,80.0,61.0
F. Lejeune,12.0,78.0,64.0,61.0,56.0,70.0
J. Bruma,13.6,78.0,67.0,63.0,58.0,70.0
P. Jones,10.2,78.0,67.0,62.0,60.0,74.0
Adrián,,,,,,
Keko,10.2,53.0,75.0,70.0,78.0,62.0
H. Pérez,12.6,47.0,71.0,76.0,79.0,53.0
Jaume Costa,12.2,75.0,71.0,68.0,72.0,78.0
A. Areola,77.0,,,,,
Escudero,11.6,75.0,71.0,65.0,68.0,78.0
Y. Mallı,13.2,45.0,74.0,71.0,78.0,56.0
A. Kokorin,10.6,55.0,71.0,78.0,78.0,61.0
S. Corchia,9.2,76.0,75.0,71.0,74.0,78.0
J. Kucka,10.8,80.0,78.0,76.0,74.0,77.0
J. Zoet,78.6,,,,,
A. Ljajić,9.0,46.0,73.0,74.0,79.0,55.0
Canales,13.6,40.0,72.0,68.0,75.0,47.0
M. Hitz,78.2,,,,,
Balenziaga,9.8,77.0,71.0,63.0,67.0,78.0
W. Bony,8.2,54.0,65.0,78.0,70.0,52.0
B. Hübner,11.0,78.0,57.0,52.0,51.0,70.0
F. Coquelin,10.2,78.0,72.0,63.0,67.0,75.0
Jonathas,9.2,50.0,63.0,78.0,72.0,51.0
G. Bou,10.0,47.0,69.0,78.0,76.0,53.0
V. Babacan,77.2,,,,,
S. Doumbia,11.6,53.0,70.0,78.0,76.0,57.0
C. Noboa,12.0,75.0,78.0,73.0,75.0,77.0
I. Smolnikov,10.4,74.0,75.0,71.0,74.0,78.0
Maurício,9.8,78.0,60.0,56.0,53.0,71.0
M. Fabián,12.2,50.0,74.0,75.0,78.0,57.0
R. Zieler,77.0,,,,,
D. Drinkwater,9.4,74.0,78.0,71.0,73.0,75.0
A. Kolarov,12.2,79.0,76.0,72.0,73.0,78.0
Mariano,11.2,74.0,75.0,72.0,74.0,78.0
S. Feghouli,9.6,46.0,71.0,74.0,79.0,56.0
K. Papadopoulos,10.4,78.0,54.0,54.0,48.0,68.0
S. Wagner,9.6,49.0,58.0,78.0,66.0,45.0
P. Piatti,9.8,52.0,72.0,75.0,79.0,60.0
C. Yacob,8.2,77.0,73.0,62.0,61.0,70.0
A. Ogbonna,4.2,78.0,61.0,55.0,55.0,73.0
Roberto,77.2,,,,,
N. Amrabat,10.2,63.0,74.0,76.0,79.0,67.0
W. Vainqueur,12.2,76.0,73.0,66.0,68.0,75.0
Marcelo,12.4,78.0,64.0,61.0,55.0,70.0
Antunes,10.0,74.0,75.0,71.0,74.0,78.0
Fabricio,78.6,,,,,
S. Prödl,10.8,78.0,54.0,50.0,44.0,66.0
S. Tasci,12.0,78.0,66.0,59.0,59.0,72.0
F. Johnson,10.2,71.0,75.0,73.0,78.0,76.0
Bojan,9.6,37.0,71.0,70.0,76.0,49.0
M. Fellaini,10.8,79.0,77.0,77.0,71.0,72.0
P. Wernbloom,11.6,79.0,74.0,71.0,66.0,75.0
A. Ayew,10.0,65.0,75.0,76.0,77.0,68.0
D. Ospina,78.6,,,,,
W. Reid,11.8,78.0,60.0,60.0,52.0,71.0
Lucas Leiva,7.4,77.0,70.0,56.0,60.0,72.0
Z. Junuzović,11.6,69.0,78.0,73.0,78.0,74.0
C. Ansaldi,11.4,76.0,76.0,68.0,75.0,78.0
V. Moses,11.2,70.0,75.0,75.0,77.0,75.0
D. Zurutuza,11.2,72.0,78.0,73.0,76.0,73.0
D. Valeri,12.0,49.0,75.0,77.0,77.0,55.0
José Fonte,10.0,77.0,60.0,52.0,52.0,67.0
N. Şahin,11.8,73.0,79.0,70.0,74.0,73.0
Gervinho,10.8,43.0,71.0,74.0,78.0,55.0
G. dos Santos,7.6,43.0,70.0,75.0,79.0,53.0
R. Shawcross,11.4,78.0,59.0,54.0,48.0,68.0
J. Evans,13.4,78.0,62.0,52.0,52.0,74.0
S. Sirigu,77.0,,,,,
A. Gyan,11.8,48.0,69.0,78.0,77.0,54.0
Y. Cabaye,11.8,74.0,78.0,72.0,74.0,74.0
Danilo,8.2,78.0,57.0,50.0,46.0,68.0
N. Pareja,14.0,78.0,69.0,63.0,60.0,70.0
S. Radu,10.4,79.0,69.0,67.0,67.0,78.0
D. Abraham,9.0,78.0,63.0,61.0,56.0,73.0
M. Krohn-Dehli,12.0,67.0,79.0,74.0,78.0,71.0
Jurado,10.4,43.0,75.0,74.0,79.0,53.0
B. Gomis,11.2,53.0,66.0,78.0,73.0,55.0
H. Herrera,10.8,73.0,76.0,72.0,73.0,74.0
Luisão,11.4,77.0,58.0,55.0,48.0,66.0
V. Berezutskiy,11.2,78.0,62.0,52.0,50.0,70.0
I. Akinfeev,78.4,,,,,
I. Denisov,12.0,75.0,75.0,67.0,71.0,75.0
A. Samedov,9.4,59.0,74.0,74.0,78.0,65.0
Xabi Prieto,9.4,56.0,78.0,74.0,76.0,61.0
Negredo,9.6,55.0,68.0,77.0,70.0,52.0
A. Pyatov,78.8,,,,,
P. Zabaleta,10.2,80.0,72.0,67.0,69.0,77.0
G. Ochoa,77.6,,,,,
W. Caballero,77.6,,,,,
Vágner Love,11.8,50.0,67.0,78.0,75.0,53.0
M. Vorm,76.8,,,,,
D. Baier,8.2,73.0,77.0,64.0,70.0,74.0
Gomes,,,,,,
R. Adler,77.0,,,,,
S. Sorrentino,77.4,,,,,
T. Rosický,11.0,54.0,75.0,71.0,77.0,62.0
A. Pirlo,3.4,52.0,76.0,62.0,70.0,56.0
G. Barry,9.6,77.0,75.0,66.0,65.0,72.0
E. Belözoğlu,9.4,66.0,78.0,67.0,72.0,66.0
A. Lunev,75.6,,,,,
André Silva,10.6,57.0,69.0,77.0,74.0,60.0
K. Dolberg,10.2,43.0,66.0,77.0,72.0,47.0
Yeray,10.4,77.0,63.0,60.0,57.0,74.0
C. Pulisic,12.6,45.0,69.0,72.0,78.0,56.0
L. Tousart,13.4,78.0,73.0,66.0,67.0,74.0
A. Onana,78.2,,,,,
V. Koziello,11.4,73.0,77.0,70.0,76.0,75.0
N. Radoja,10.4,74.0,77.0,68.0,69.0,70.0
V. Rongier,9.8,68.0,77.0,68.0,73.0,71.0
O. Al Soma,11.2,54.0,69.0,77.0,73.0,57.0
F. Cervi,10.0,51.0,71.0,71.0,78.0,60.0
Jorge Meré,10.8,77.0,58.0,50.0,49.0,71.0
Jony,12.4,53.0,73.0,71.0,77.0,63.0
R. Karsdorp,13.0,74.0,73.0,70.0,73.0,77.0
Dani Ceballos,12.6,69.0,77.0,66.0,75.0,72.0
H. Lozano,11.8,46.0,70.0,74.0,78.0,58.0
Raúl,10.2,77.0,60.0,59.0,55.0,69.0
Pau López,76.8,,,,,
M. Vecino,4.0,73.0,77.0,71.0,73.0,74.0
A. Sanabria,11.6,42.0,67.0,77.0,77.0,49.0
R. Battaglia,7.8,77.0,77.0,73.0,72.0,75.0
J. Izquierdo,10.6,41.0,69.0,74.0,78.0,53.0
T. Bongonda,11.6,40.0,69.0,72.0,78.0,53.0
Rúben Semedo,11.8,77.0,63.0,62.0,59.0,71.0
Rafa,10.2,44.0,70.0,71.0,78.0,57.0
Morales,12.8,56.0,71.0,73.0,78.0,65.0
Capa,10.8,74.0,71.0,71.0,74.0,77.0
M. Sportiello,76.4,,,,,
D. Zapata,8.0,46.0,59.0,77.0,69.0,47.0
D. Benedetto,11.0,48.0,67.0,77.0,74.0,52.0
A. Ruiz,11.8,48.0,76.0,76.0,78.0,54.0
D. Laxalt,9.8,57.0,72.0,68.0,75.0,66.0
D. Origi,14.0,49.0,68.0,77.0,76.0,53.0
N. Stark,12.0,77.0,71.0,67.0,66.0,75.0
Hernâni,8.0,39.0,67.0,73.0,78.0,52.0
Iuri Medeiros,8.6,42.0,72.0,71.0,78.0,54.0
Bruno Fernandes,12.6,66.0,76.0,74.0,77.0,71.0
R. Gagliardini,8.4,75.0,77.0,71.0,72.0,76.0
Pedro Santos,10.6,44.0,70.0,74.0,78.0,55.0
Carles Gil,11.6,47.0,74.0,69.0,76.0,57.0
Paulo Oliveira,10.4,77.0,59.0,54.0,53.0,71.0
A. Szymanowski,9.4,50.0,69.0,74.0,77.0,59.0
Bruno Peres,9.4,73.0,74.0,72.0,76.0,79.0
K. Wimmer,12.2,77.0,64.0,51.0,55.0,71.0
Tiago Volpi,74.6,,,,,
F. Kostić,12.8,48.0,68.0,72.0,77.0,57.0
A. Samaris,9.8,79.0,72.0,68.0,66.0,73.0
A. Doucouré,13.6,75.0,78.0,73.0,74.0,74.0
G. Pizarro,11.4,75.0,74.0,66.0,68.0,74.0
J. Martínez,12.0,44.0,65.0,77.0,76.0,49.0
M. Ginter,9.2,77.0,70.0,66.0,65.0,75.0
J. Lingard,10.8,58.0,73.0,75.0,78.0,64.0
M. Weiser,12.0,72.0,77.0,72.0,78.0,77.0
D. Cheryshev,10.4,62.0,74.0,74.0,78.0,67.0
Bigas,12.4,77.0,62.0,62.0,60.0,75.0
D. Heintz,12.0,77.0,63.0,51.0,52.0,72.0
B. Davies,9.0,75.0,72.0,66.0,71.0,77.0
L. Castro,8.4,67.0,77.0,72.0,76.0,73.0
J. Ward-Prowse,12.8,64.0,77.0,67.0,73.0,70.0
T. Inui,11.4,46.0,72.0,69.0,78.0,57.0
M. Sabitzer,13.2,48.0,72.0,76.0,77.0,55.0
B. Mendy,9.4,75.0,71.0,65.0,71.0,77.0
R. Jiménez,11.0,54.0,70.0,77.0,75.0,57.0
E. Sala,8.2,59.0,71.0,77.0,71.0,60.0
B. Reynet,77.0,,,,,
M. Niang,4.4,43.0,69.0,77.0,78.0,52.0
K. Fortounis,14.2,50.0,72.0,73.0,76.0,56.0
Pozuelo,10.0,54.0,76.0,67.0,73.0,61.0
Joãozinho,10.0,58.0,73.0,73.0,78.0,67.0
P. Kadeřábek,11.0,74.0,71.0,67.0,71.0,77.0
T. Vilhena,12.0,71.0,77.0,71.0,74.0,73.0
M. Elyounoussi,9.4,51.0,72.0,73.0,77.0,60.0
L. Bittencourt,12.4,58.0,73.0,69.0,76.0,66.0
Sergi Darder,8.6,66.0,77.0,67.0,72.0,67.0
D. Demme,11.8,71.0,74.0,58.0,65.0,73.0
V. Eysseric,10.2,49.0,73.0,74.0,78.0,55.0
G. Ramírez,10.2,50.0,72.0,73.0,76.0,56.0
David López,10.8,77.0,72.0,68.0,66.0,73.0
C. Tătăruşanu,,,,,,
M. Badelj,10.4,74.0,77.0,67.0,70.0,74.0
A. Mandi,12.8,77.0,71.0,63.0,67.0,76.0
Ismaily,10.2,73.0,73.0,71.0,74.0,77.0
A. Marchesín,76.6,,,,,
L. Teodorczyk,10.8,47.0,66.0,77.0,71.0,49.0
Marafona,75.4,,,,,
B. Lecomte,77.4,,,,,
N. Chadli,11.6,57.0,73.0,77.0,77.0,61.0
S. Rode,9.8,76.0,74.0,68.0,70.0,76.0
M. van Ginkel,11.6,69.0,77.0,76.0,75.0,72.0
André André,10.2,70.0,77.0,73.0,75.0,72.0
J. Guidetti,11.2,48.0,66.0,77.0,74.0,50.0
Danilo,10.6,76.0,74.0,74.0,73.0,77.0
V. Aboubakar,8.4,48.0,70.0,77.0,75.0,51.0
C. Aránguiz,11.0,65.0,77.0,71.0,75.0,71.0
Raúl Navas,11.4,77.0,58.0,55.0,49.0,68.0
K. Mbodj,11.0,77.0,62.0,63.0,57.0,71.0
Rodrigo,9.2,48.0,68.0,77.0,78.0,56.0
R. Funes Mori,10.8,60.0,70.0,77.0,75.0,62.0
M. Höger,12.0,77.0,77.0,72.0,72.0,76.0
N. Lodeiro,12.2,52.0,76.0,70.0,76.0,60.0
D. Caligiuri,11.0,57.0,73.0,73.0,77.0,63.0
S. Verdi,10.6,47.0,73.0,70.0,78.0,61.0
E. Pérez,11.0,76.0,77.0,71.0,73.0,77.0
T. Gutiérrez,11.4,47.0,71.0,77.0,77.0,50.0
C. Austin,9.8,53.0,63.0,77.0,69.0,53.0
E. Berisha,76.2,,,,,
G. Gillet,12.0,77.0,77.0,75.0,73.0,76.0
L. López,9.6,57.0,73.0,77.0,76.0,60.0
A. Townsend,11.8,45.0,69.0,73.0,77.0,55.0
D. Heintz,12.0,77.0,63.0,51.0,52.0,72.0
Pozuelo,10.0,54.0,76.0,67.0,73.0,61.0
T. Vermaelen,10.4,76.0,65.0,64.0,61.0,71.0
I. Abate,3.4,74.0,73.0,67.0,72.0,77.0
J. Briand,8.2,59.0,72.0,77.0,76.0,61.0
M. Sabitzer,13.2,48.0,72.0,76.0,77.0,55.0
Capa,10.8,74.0,71.0,71.0,74.0,77.0
J. Toulalan,9.0,76.0,74.0,60.0,62.0,71.0
Bruno Alves,13.6,77.0,68.0,68.0,65.0,69.0
T. Howard,75.4,,,,,
M. Barovero,76.0,,,,,
C. Aránguiz,11.0,65.0,77.0,71.0,75.0,71.0
V. Rongier,9.8,68.0,77.0,68.0,73.0,71.0
Joaquín,10.0,48.0,73.0,73.0,78.0,54.0
J. Lingard,10.8,58.0,73.0,75.0,78.0,64.0
S. Bocchetti,12.8,77.0,60.0,59.0,56.0,70.0
A. Marchesín,76.6,,,,,
Muniain,9.0,51.0,70.0,71.0,78.0,57.0
Danilo,10.6,76.0,74.0,74.0,73.0,77.0
C. Gentner,11.4,75.0,77.0,73.0,70.0,73.0
O. Al Soma,11.2,54.0,69.0,77.0,73.0,57.0
F. Gago,9.8,73.0,75.0,65.0,69.0,73.0
Bigas,12.4,77.0,62.0,62.0,60.0,75.0
D. Origi,14.0,49.0,68.0,77.0,76.0,53.0
D. Cheryshev,10.4,62.0,74.0,74.0,78.0,67.0
R. van Persie,7.8,47.0,72.0,77.0,77.0,52.0
M. Layún,10.4,73.0,75.0,72.0,75.0,76.0
V. Eysseric,10.2,49.0,73.0,74.0,78.0,55.0
Sergi Darder,8.6,66.0,77.0,67.0,72.0,67.0
D. Laxalt,9.8,57.0,72.0,68.0,75.0,66.0
Tiago Volpi,74.6,,,,,
Morales,12.8,56.0,71.0,73.0,78.0,65.0
V. Aboubakar,8.4,48.0,70.0,77.0,75.0,51.0
A. Szymanowski,9.4,50.0,69.0,74.0,77.0,59.0
N. Nkoulou,8.2,76.0,68.0,60.0,62.0,72.0
S. Ignashevich,10.2,77.0,62.0,59.0,52.0,66.0
Ismaily,10.2,73.0,73.0,71.0,74.0,77.0
Pau López,76.8,,,,,
Rafinha,13.0,73.0,71.0,61.0,69.0,77.0
L. Tousart,13.4,78.0,73.0,66.0,67.0,74.0
J. Terry,9.6,77.0,60.0,55.0,49.0,65.0
P. Skjelbred,8.8,72.0,76.0,62.0,70.0,74.0
I. Afellay,10.2,60.0,76.0,72.0,77.0,67.0
N. Lombaerts,12.0,77.0,64.0,56.0,53.0,70.0
Granero,11.6,68.0,77.0,71.0,75.0,67.0
J. Baumgartlinger,11.0,77.0,71.0,64.0,65.0,75.0
R. Palacio,16.4,52.0,71.0,77.0,78.0,56.0
Miguel Lopes,12.0,74.0,71.0,65.0,69.0,77.0
Susaeta,8.6,44.0,74.0,72.0,78.0,54.0
Hilton,11.0,77.0,69.0,59.0,60.0,69.0
Y. M'Vila,12.0,75.0,74.0,65.0,69.0,74.0
Pedro Santos,10.6,44.0,70.0,74.0,78.0,55.0
Hernâni,8.0,39.0,67.0,73.0,78.0,52.0
V. Koziello,11.4,73.0,77.0,70.0,76.0,75.0
J. Guidetti,11.2,48.0,66.0,77.0,74.0,50.0
Borja Bastón,9.4,47.0,63.0,77.0,70.0,47.0
J. Farfán,11.8,51.0,72.0,75.0,78.0,57.0
J. Montero,12.2,44.0,70.0,72.0,77.0,54.0
A. Mandi,12.8,77.0,71.0,63.0,67.0,76.0
K. Mbodj,11.0,77.0,62.0,63.0,57.0,71.0
M. Badelj,10.4,74.0,77.0,67.0,70.0,74.0
R. Battaglia,7.8,77.0,77.0,73.0,72.0,75.0
M. Ruben,9.4,54.0,68.0,77.0,74.0,56.0
M. Borriello,8.4,46.0,62.0,77.0,70.0,47.0
Rodrigo,9.2,48.0,68.0,77.0,78.0,56.0
R. Gagliardini,8.4,75.0,77.0,71.0,72.0,76.0
Eliseu,14.4,77.0,72.0,73.0,73.0,77.0
F. Kostić,12.8,48.0,68.0,72.0,77.0,57.0
A. Onana,78.2,,,,,
Mosquera,11.4,71.0,77.0,66.0,68.0,71.0
Rochina,12.0,55.0,75.0,74.0,76.0,60.0
André André,10.2,70.0,77.0,73.0,75.0,72.0
Rúben Semedo,11.8,77.0,63.0,62.0,59.0,71.0
B. Džemaili,10.2,70.0,77.0,74.0,75.0,72.0
K. Fortounis,14.2,50.0,72.0,73.0,76.0,56.0
S. Ryzhikov,75.8,,,,,
A. N'Diaye,11.2,77.0,70.0,62.0,64.0,74.0
B. Reynet,77.0,,,,,
Y. Gourcuff,9.0,61.0,76.0,73.0,75.0,63.0
K. Asamoah,4.2,75.0,78.0,73.0,77.0,77.0
R. Bobadilla,11.4,55.0,69.0,77.0,75.0,55.0
R. Hamouma,11.8,53.0,73.0,76.0,78.0,60.0
C. Pulisic,12.6,45.0,69.0,72.0,78.0,56.0
M. Fernández,9.0,60.0,77.0,72.0,79.0,67.0
K. Honda,3.8,57.0,76.0,74.0,77.0,63.0
Raúl Navas,11.4,77.0,58.0,55.0,49.0,68.0
A. Dzyuba,11.4,49.0,67.0,77.0,72.0,50.0
B. Yılmaz,12.0,49.0,64.0,77.0,73.0,52.0
J. Holebas,14.2,77.0,70.0,72.0,72.0,77.0
K. Casteels,76.0,,,,,
Javi García,11.6,78.0,72.0,70.0,65.0,72.0
D. Caligiuri,11.0,57.0,73.0,73.0,77.0,63.0
Fontàs,13.2,77.0,65.0,57.0,56.0,67.0
K. Vermeer,76.2,,,,,
Jony,12.4,53.0,73.0,71.0,77.0,63.0
C. Tosun,11.8,49.0,67.0,77.0,73.0,51.0
M. Höger,12.0,77.0,77.0,72.0,72.0,76.0
S. Dann,9.4,77.0,60.0,54.0,48.0,68.0
Rafa,10.2,44.0,70.0,71.0,78.0,57.0
Y. Bolasie,9.8,48.0,69.0,72.0,77.0,54.0
Bruno Fernandes,12.6,66.0,76.0,74.0,77.0,71.0
D. Glushakov,9.4,75.0,77.0,75.0,75.0,75.0
Juanfran,11.8,74.0,73.0,71.0,73.0,77.0
K. Trippier,10.8,74.0,74.0,66.0,72.0,77.0
J. Cork,10.4,76.0,76.0,68.0,69.0,74.0
Guilherme,76.0,,,,,
A. Ramos,11.2,52.0,66.0,77.0,74.0,56.0
M. Bradley,13.8,73.0,78.0,71.0,73.0,74.0
Souza,9.4,77.0,74.0,72.0,71.0,75.0
T. Mangani,12.4,73.0,77.0,71.0,72.0,73.0
N. Stark,12.0,77.0,71.0,67.0,66.0,75.0
Rafael,9.4,75.0,73.0,69.0,74.0,77.0
Carles Gil,11.6,47.0,74.0,69.0,76.0,57.0
Adriano,13.4,75.0,77.0,74.0,77.0,77.0
B. Mee,11.6,77.0,61.0,54.0,56.0,73.0
M. Ginter,9.2,77.0,70.0,66.0,65.0,75.0
Paulo Oliveira,10.4,77.0,59.0,54.0,53.0,71.0
C. Dempsey,9.2,51.0,71.0,77.0,74.0,52.0
R. Funes Mori,10.8,60.0,70.0,77.0,75.0,62.0
M. Weiser,12.0,72.0,77.0,72.0,78.0,77.0
H. Briceldo,15.6,50.0,61.0,76.0,71.0,51.0
B. Moukandjo,11.6,44.0,66.0,76.0,77.0,53.0
Juanmi,9.4,45.0,68.0,76.0,78.0,52.0
L. Kalinić,73.2,,,,,
N. Subotić,7.0,76.0,55.0,55.0,47.0,69.0
N. Blandi,13.6,50.0,64.0,76.0,70.0,53.0
P. De Blasis,9.6,51.0,70.0,73.0,77.0,57.0
M. Phillips,13.2,48.0,67.0,72.0,75.0,55.0
M. Braithwaite,10.6,51.0,70.0,76.0,77.0,55.0
A. Lafont,76.2,,,,,
D. Reyes,9.8,76.0,68.0,60.0,62.0,73.0
Iván Ramis,10.0,76.0,67.0,62.0,55.0,68.0
V. Behrami,11.2,75.0,73.0,68.0,68.0,73.0
G. Hoarau,1.0,58.0,68.0,76.0,70.0,56.0
T. Barnetta,11.8,61.0,74.0,71.0,76.0,67.0
E. Choupo-Moting,9.8,50.0,71.0,77.0,76.0,55.0
Jesé,10.8,38.0,69.0,71.0,77.0,49.0
J. Pinola,9.8,76.0,67.0,63.0,64.0,72.0
Luís Hernández,8.6,76.0,69.0,62.0,63.0,76.0
Jonny,9.0,74.0,64.0,57.0,63.0,76.0
B. Dočkal,10.4,55.0,74.0,71.0,75.0,61.0
